date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:17	76232/76232	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:16%20GMT	https://www.framer.com/community/gallery/crazyui/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/crazyui/FramerElectron/index.html	(from https://www.framer.com/community/gallery/crazyui/)
13:48:17	76232/76232	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:17%20GMT	https://www.framer.com/community/gallery/bychudy/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/bychudy/FramerElectron/index.html	(from https://www.framer.com/community/gallery/bychudy/)
13:48:17	76244/76244	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:17%20GMT	https://www.framer.com/community/gallery/rabenrifaie/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/rabenrifaie/FramerElectron/index.html	(from https://www.framer.com/community/gallery/rabenrifaie/)
13:48:18	76269/76269	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:17%20GMT	https://www.framer.com/community/gallery/zapconnect-2026/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/zapconnect-2026/FramerElectron/index.html	(from https://www.framer.com/community/gallery/zapconnect-2026/)
13:48:18	76241/76241	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:18%20GMT	https://www.framer.com/community/gallery/robin-louw/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/robin-louw/FramerElectron/index.html	(from https://www.framer.com/community/gallery/robin-louw/)
13:48:18	76272/76272	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:18%20GMT	https://www.framer.com/community/gallery/framer-shortcuts/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/framer-shortcuts/FramerElectron/index.html	(from https://www.framer.com/community/gallery/framer-shortcuts/)
13:48:20	1061694/1061694	---M-Z	200	added ('OK')	text/html	etag:%22eb7927a166a92afaf9fafbdffa3d68fb%22	https://www.framer.com/dictionary/image-optimization	./wearestokt-mirror/www.framer.com/dictionary/image-optimization.html	(from https://www.framer.com/performance/)
13:48:21	76253/76253	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:19%20GMT	https://www.framer.com/community/gallery/teona-kokhodze/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/teona-kokhodze/FramerElectron/index.html	(from https://www.framer.com/community/gallery/teona-kokhodze/)
13:48:21	76232/76232	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:19%20GMT	https://www.framer.com/community/gallery/heretic/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/heretic/FramerElectron/index.html	(from https://www.framer.com/community/gallery/heretic/)
13:48:21	76238/76238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:18%20GMT	https://www.framer.com/community/gallery/metasense/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/metasense/FramerElectron/index.html	(from https://www.framer.com/community/gallery/metasense/)
13:48:22	1042416/1042416	---M-Z	200	added ('OK')	text/html	etag:%221aaba2f23835ed85fe21ba2d5d3c6f03%22	https://www.framer.com/dictionary/instant-navigation	./wearestokt-mirror/www.framer.com/dictionary/instant-navigation.html	(from https://www.framer.com/performance/)
13:48:22	76247/76247	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:21%20GMT	https://www.framer.com/community/gallery/sarah-zaheer/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/sarah-zaheer/FramerElectron/index.html	(from https://www.framer.com/community/gallery/sarah-zaheer/)
13:48:23	76253/76253	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:22%20GMT	https://www.framer.com/community/gallery/matthew-encina/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/matthew-encina/FramerElectron/index.html	(from https://www.framer.com/community/gallery/matthew-encina/)
